customer_id,full_name,email,country,segment,age,signup_date,revenue,is_active
CUST-00001,David Esposito,david.esposito@example.com,SE,SMB,58,2023-03-07,"82,825.46",true
CUST-00002,  Nils Costa ,nils.costa@example.com,PT,Public Sector,75,2022-07-26,"7,368.93",false
CUST-00003,Jonas Costa,jonas.costa@example.com,Italy,SMB,29,2022-02-21,"81,089.98",false
CUST-00004,Sven Rossi,,NL,SMB,23,2024-06-18,"37,502.25",true
CUST-00005,Olivia Dupont,olivia.dupont@example.com,SE,SMB,40,22/08/2023,"18,846.55",false
CUST-00006,Elena Kowalski,alice.martin@,NL,Public Sector,24,2023-10-15,"37,652.76",false
CUST-00007,Elena Weber,elena.weber@example.com,BE,SMB,48,2022-04-19,"69,557.54",true
CUST-00008,Greta Kowalski,greta.kowalski@example.com,PT,unknown,64,2023-01-23,"48,469.82",false
CUST-00009,Chloé Lambert,chloe.lambert@example.com,ES,Mid-Market,71,2024-04-11,"-25,309.73",false
CUST-00010,NILS NILSSON,nils.nilsson@example.com,PT,Mid-Market,30,2024-04-20,"6,356.11",false
CUST-00011,Nils Moreau,nils.moreau@example.com,NL,Mid-Market,32,2024-01-21,"35,160.62",false
CUST-00012,François Kowalski,francois.kowalski@example.com,   ,Public Sector,60,2023-01-31,"29,426.72",true
CUST-00013,Luca Bakker,luca.bakker@example.com,ES,Enterprise,0,2023-07-26,"36,158.37",false
CUST-00014,Olivia Weber,olivia.weber@example.com,DE,Enterprise,68,2023-04-22,"3,468.27",false
CUST-00015,Elena Dupont,elena.dupont@example.com,DEU,Public Sector,73,2022-04-04,"50,323.09",true
CUST-00016,Greta Esposito,greta.esposito@example.com,NL,SMB,55,2023-01-08,"12,532.06",true
CUST-00017,Ulrich Bakker,ulrich.bakker@example.com,SE,Enterprise,56,2023-02-30,"42,644.83",false
CUST-00018,Rosa Martin,,NL,Mid-Market,51,2022-11-19,"79,940.74",true
CUST-00019,David Kowalski,david.kowalski@example.com,IT,Public Sector,63,2023-12-16,"89,104.44",false
CUST-00020,Rosa Costa,rosa.costa@example.com,DE,SMB,67,2023-09-05,"86,567.34",false
CUST-00021,Bruno Silva,bruno.silva@example.com,IT,SMB,72,2023-03-30,"€ 86,756.47",true
CUST-00022,Wouter Kowalski,wouter.kowalski@example.com,IT,Enterprise,32,2022-04-08,"35,384.45",false
CUST-00023,Sven Weber,sven.weber@example.com,NL,Public Sector,31,2022-08-15,"29,496.62",true
CUST-00024,François Kowalski,bruno.dupont.example.com,PT,Mid-Market,78,2023-08-02,"35,673.05",false
CUST-00025,Teresa Weber,teresa.weber@example.com,DE,SMB,70,2023-02-05,"32,674.99",false
CUST-00026,Luca Lambert,luca.lambert@example.com,ES,Public Sector,49,2022-11-10,"58,096.58",false
CUST-00027,  Ulrich Costa ,ulrich.costa@example.com,NL,Enterprise,30,2023-08-28,"28,117.81",true
CUST-00028,François Kowalski,francois.kowalski@example.com,DE,SMB,63,2023-07-09,"18,150.43",false
CUST-00029,Hugo Martin,hugo.martin@example.com,SE,Public Sector,35,2024-05-19,"68,860.24",true
CUST-00030,Marta Martin,marta.martin@example.com,FR,Public Sector,37,01/02/2024,"84,946.66",false
CUST-00031,Greta Weber,greta.weber@example.com,SE,SMB,53,2022-03-30,"84,071.94",true
CUST-00032,Bruno Weber,bruno.weber@example.com,SE,SMB,56,2027-10-11,"69,441.57",true
CUST-00033,François Martin,francois.martin@example.com,ES,Enterprise,42,2022-05-13,"43,768.93",false
CUST-00034,Yara Martin,yara.martin@example.com,SE,Mid-Market,71,2022-04-27,"43,584.29",false
CUST-00035,Pablo Fischer,pablo.fischer@example.com,FR,Enterprise,52,2022-11-17,"57,479.65",true
CUST-00036,Ulrich Weber,ulrich.weber@example.com,PT,Mid-Market,32,2022-01-20,approx 500,false
CUST-00037,Katarina Kowalski,katarina.kowalski@example.com,SE,SMB,40,2024-05-19,"30,879.62",false
CUST-00038,Ingrid Weber,ingrid.weber@example.com,BE,Mid-Market,22,2023-09-13,"38,378.30",true
CUST-00039,KATARINA BAKKER,katarina.bakker@example.com,BE,Public Sector,71,2024-06-13,"34,946.34",false
